Year,UserID,ISBN,Title,Publisher,Quantity,OrderedID,ShippmentDate,State,ShipmentTo,Zipcod
2025,59,9.781E+12,"Review Guide Applied Anatomy","Books Of Discovery",2,2025-01-1930,"01-04-2025 0.00",Karnataka,Raichur,584101
2025,59,9.781E+12,"Trail Guide to Movement (Building the Body in Motion)","Books Of Discovery",1,2025-01-1946,"01-04-2025 0.00",Karnataka,Mysore,570001
2025,59,9.781E+12,"Functional Anatomy for Occupational Therapy","Books Of Discovery",1,2025-01-1957,"01-04-2025 0.00","MADHYA PRADESH",CHHINDWARA,480001
2025,59,9.781E+12,"Trail Guide to Movement (Building the Body in Motion)","Books Of Discovery",1,2025-01-1968,"01-04-2025 0.00",MAHARASHTRA,PUNE,411014
2025,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",1,2025-01-2003,"01-04-2025 0.00",Rajasthan,Pilani,333031
2025,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",1,2025-01-2009,"01-04-2025 0.00",Rajasthan,Karwar,323613
2025,59,9.781E+12,"Applied Anatomy & Physiology for Manual Therapists","Books Of Discovery",1,2025-01-2022,"01-04-2025 0.00","Tamil Nadu",Mannargudi,614001
2025,59,9.781E+12,"Trail Guide to Movement (Building the Body in Motion)","Books Of Discovery",1,2025-01-2039,"01-04-2025 0.00","Tamil Nadu",Perambalur,621101
2025,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",1,2025-01-2069,"01-04-2025 0.00","Tamil Nadu",Theni,625533
2025,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",1,2025-01-2090,"01-04-2025 0.00","Tamil Nadu",Rasipuram,637408
2025,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",1,2025-01-2106,"01-04-2025 0.00","Tamil Nadu",Madurai,625001
2025,59,9.781E+12,"Review Guide Applied Anatomy","Books Of Discovery",1,2025-01-2127,"01-04-2025 0.00","Uttar Pradesh",Nizamabad,276206
2025,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",1,2025-01-2145,"01-04-2025 0.00","West Bengal",Kolkata,700024
